iter	Passed	Remaining
833	33629	6693
834	33678	6654
835	33716	6614
836	33758	6574
837	33795	6533
838	33833	6492
839	33873	6452
840	33918	6412
841	33958	6372
842	34001	6332
843	34040	6291
844	34077	6250
845	34119	6210
846	34158	6170
847	34195	6129
848	34239	6089
849	34279	6049
850	34318	6008
851	34363	5969
852	34400	5928
853	34436	5887
854	34471	5846
855	34508	5805
856	34544	5764
857	34578	5722
858	34613	5681
859	34648	5640
860	34686	5599
861	34724	5559
862	34759	5518
863	34793	5476
864	34829	5435
865	34865	5394
866	34900	5353
867	34941	5313
868	34975	5272
869	35011	5231
870	35048	5190
871	35083	5149
872	35122	5109
873	35162	5069
874	35196	5028
875	35232	4987
876	35268	4946
877	35304	4905
878	35344	4865
879	35384	4825
880	35421	4784
881	35457	4743
882	35492	4702
883	35530	4662
884	35566	4621
885	35609	4581
886	35647	4541
887	35684	4500
888	35719	4459
889	35755	4419
890	35793	4378
891	35832	4338
892	35872	4298
893	35905	4257
894	35941	4216
895	35979	4176
896	36023	4136
897	36062	4096
898	36100	4055
899	36137	4015
900	36172	3974
901	36208	3933
902	36249	3893
903	36283	3853
904	36326	3813
905	36363	3772
906	36399	3732
907	36434	3691
908	36469	3650
909	36510	3610
910	36544	3570
911	36583	3529
912	36615	3489
913	36654	3448
914	36701	3409
915	36745	3369
916	36788	3329
917	36832	3290
918	36875	3250
919	36921	3210
920	36979	3172
921	37035	3133
922	37082	3093
923	37128	3053
924	37179	3014
925	37223	2974
926	37266	2934
927	37311	2894
928	37354	2854
929	37394	2814
930	37439	2774
931	37485	2735
932	37585	2699
933	37670	2661
934	37736	2623
935	37775	2582
936	37822	2543
937	37864	2502
938	37906	2462
939	37951	2422
940	38011	2383
941	38056	2343
942	38098	2302
943	38142	2262
944	38184	2222
945	38225	2182
946	38261	2141
947	38293	2100
948	38330	2059
949	38409	2021
950	38479	1982
951	38540	1943
952	38600	1903
953	38661	1864
954	38726	1824
955	38779	1784
956	38821	1744
957	38864	1703
958	38914	1663
959	38994	1624
960	39065	1585
961	39138	1545
962	39195	1505
963	39270	1466
964	39341	1426
965	39411	1387
966	39467	1346
967	39731	1313
968	39836	1274
969	39923	1234
970	40014	1195
971	40096	1155
972	40195	1115
973	40266	1074
974	40315	1033
975	40360	992
976	40414	951
977	40455	910
978	40498	868
979	40536	827
980	40580	785
981	40620	744
982	40662	703
983	40708	661
984	40752	620
985	40794	579
986	40841	537
987	40887	496
988	40940	455
989	41001	414
990	41061	372
991	41137	331
992	41230	290
993	41314	249
994	41358	207
995	41401	166
996	41447	124
997	41490	83
998	41532	41
999	41573	0
